Company,ShoeURL,ShoeName,colorSize,TotalScore,TotalReviews,Discontinued,Terrain,Arch,Use,Price,Discount,ShoeWeight,ToeDrop,FootHeight,ReleaseDate,GoodSummary,BadSummary,Summary,RatingsText,USARanking,FiveStars,FourStars,ThreeStars,TwoStars,OneStars,ProdInfo,SizenFit,OuterSole,UpperSole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altra,https://runrepeat.com/altra-impulse-flash,Altra Impulse Flash,4,83,17,N,Road,Stability,Competition,$165 ,$60 | 64%,9,0,23,,The reflective design of the Altra Impulse Flash is what impressed a majority of users the most. These users referred to the reflective design as “cool” in their reviews.;Most testers thought that this shoe and its features were worth the price.;One user said that the shoe performed sufficiently on both trails and roads.;Some users felt that it offered lightweight support for the feet.;Many testers observed the comfort that it provided.;The Toe Shape feature of the shoe was well received by several runners.;Testers with wider feet were happy about the accommodating fit.;Some testers were glad that this shoe had more cushioning than the Altra Impulse.;,"One runner felt that the design of the shoe looked boxy or bulky.;Several users questioned the durability of the shoe because its components apparently felt very light and flimsy.;A lot of runners narrated their struggle with the size of the shoe. They said that the shoe ran short and narrow, causing them to return their pair and get new ones at a size or a half-size bigger.;One tester observed some foot pain after hours of walking and standing on the shoe.;Many users were not happy with the shoe’s ventilation. They mentioned that their feet easily felt the heat after running, even with the tongue and lacing loosened.;","Altra’s Impulse Flash is a unique stability shoe which combines comfort, support, and style. This affordable road running shoe was made for the person who is looking for a cool option that has enough arch support, as well as a lightweight frame.One runner felt that the design of the shoe looked boxy or bulky.;Several users questioned the durability of the shoe because its components apparently felt very light and flimsy.;A lot of runners narrated their struggle with the size of the shoe. They said that the shoe ran short and narrow, causing them to return their pair and get new ones at a size or a half-size bigger.;One tester observed some foot pain after hours of walking and standing on the shoe.;Many users were not happy with the shoe’s ventilation. They mentioned that their feet easily felt the heat after running, even with the tongue and lacing loosened.;",4.2 / 5 based on 17 ratings,"How popular is Altra Impulse Flash in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #768 most popular running shoes.",65%,12%,12%,6%,6%,"On-lookers will be mesmerized by the reflective properties of the upper of the Altra Impulse Flash. Whether it is day or night, the upper of this shoe will look like it is lighting up with every stride. Style-wise, this makes the shoe unique, but the design also serves more practical purposes, especially in environments where the lighting is low.;The Impulse Flash also features Altra’s FootPod technology, where both the pattern of the outsole and midsole of the shoe are mapped according to the bones and tendons of the feet. This makes it possible for the shoe to move together with the foot naturally.;With its zero drop platform, the Altra Impulse Flash remedies the pain felt in certain areas of the foot or leg when running for a long period of time. It is also responsible for giving runners a more efficient and natural stride.;","The Impulse Flash by Altra comes in with standard shoe lengths. Those interested in the shoe can order a pair in their usual sizes. The same goes with the shoe’s width – it comes in standard measurements. Ladies will be able to get the shoes in B – Medium width, while gentlemen have the D – Medium width.","The outsole of the Impulse Flash has two technologies that help with flexibility, support, and protection. It starts with the InnerFlex technology. Normally, a regular shoe’s outsole would only have patterns on the part that can be seen. With the InnerFlex, mapped-out patterns that improve the shoe’s flexibility are found both on the outside and the inside portion of the mid-sole.",The upper of the Impulse Flash is a fully reflective material that is lightweight and friction-free. The reflective properties of this upper aims to make the shoe useful and even eye-catching during night runs or runs in environments where there are only a few light sources.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuno,https://runrepeat.com/mizuno-wave-mujin-3,Mizuno Wave Mujin 3,3,83,9,N,Trail,Neutral,Daily running,$160 ,$112 | 30%,,,,,"Runners generally welcomed the eye-catching look of the Mizuno Wave Mujin 3.;A reviewer commented that this model was able to give a superb fit like its predecessors.;Several consumers noted that this shoe was durable.;Some runners reported that the water-resistant mesh kept the foot cool, dry and safe from mild water exposure.;The mid-sole unit was able to cushion the foot well, a number of testers stated.;The different rubber compounds in the outsole received positive recognition because they were apparently efficient.;","There was a complaint about the lack of color choices, which stunted its visual appeal.;Some runners lamented the lack of an arch support mechanism, which would’ve assisted the foot and stabilized it during those long running sessions.;A few consumers thought that this shoe was a bit heavy.;","A majority of those who have tested the Mizuno Wave Mujin 3 were happy with its performance. They wrote that it was comfortable, secure and efficient. They even lauded most of its technologies and features. There were some complaints about this trail companion, but the overall feedback for it was positive.There was a complaint about the lack of color choices, which stunted its visual appeal.;Some runners lamented the lack of an arch support mechanism, which would’ve assisted the foot and stabilized it during those long running sessions.;A few consumers thought that this shoe was a bit heavy.;",4.9 / 5 based on 9 ratings,"How popular is Mizuno Wave Mujin 3 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #1063 most popular running shoes.",89%,11%,0%,0%,0%,"A breathable cover system makes the running shoe more comfortable, especially when it comes to traversing the trails for extended periods of time. The Mizuno Wave Mujin 3 uses fabrics that have open constructions, so that they’ll be able to feel the air enter the foot-chamber. This version also features a water-resistant mesh, which assists the runner in remaining dry when running in wet conditions.;The collar and forefoot sections of the upper unit make use of a stretchable material that follows the foot as it moves through the gait cycle. It’s a helpful design that prevents the fabric from rubbing against the skin. Stitched overlays help the upper mesh when it comes to maintaining a secure and comfortable fit.;The mid-sole unit of the Mizuno Wave Mujin 3 uses a full-length foam that is able to provide a responsive ride. The entire foot gets high quality cushioning and springiness to each step. A thermal plastic wave that goes from the heel to the mid-foot cushions the heel landings and absorbs impact shock.;Gripping lugs and grooves make the outsole unit more agreeable to the natural movement and performance of the wearer. Because they make the platform more flexible, they’ll be able to help the runner in adapting to the topography around them. Durable rubber compounds protect the sole unit from wear and tear, while also delivering multi-surface traction.;","The Mizuno Wave Mujin 3 has a standard running shoe length. It uses the regular measurements when it comes to the sizing schemes for men and women. The available width for both genders is medium, so it is able to accommodate those with medium sized feet. Its semi-curved shape follows the natural curve of the human foot.","X10 is made from durable carbon rubber. Placed in the heel and front sections of the Mizuno Wave Mujin 3’s outsole, it delivers durable protection and traction over a variety of surfaces.",The AIRmesh material in the Mujin 3’s upper provides breathable coverage. It is basically a fabric that has an open construction. Air easily comes inside the shoe in order to keep the foot cool and dry.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skechers,https://runrepeat.com/skechers-gomeb-speed-4,Skechers GOmeb Speed 4,4,83,20,N,Road,Neutral,Competition,$130 ,$59 | 55%,6,4,18,,"Many users mentioned that the Skechers GOmeb Speed 4 fits true to size.;The lightweight construction of the shoe was impressive, based on several reviews.;A review noted that the heel felt soft and mild compared to other racing flats. This reviewer recommended this shoe for those who have sensitive Achilles tendons.;Testers were glad to see that the shoes can be worn without socks.;Several reviewers said that the upper of the shoe was very breathable but still gave enough supportive coverage on the dorsum of the foot.;",A few users observed that the shoes needed to be broken in; it apparently didn’t feel comfortable upon initial use.;Some reviewers commented on how thin the outsole of the shoe was for them.;A tester wanted to highlight the absence of an Achilles dip on this shoe.;,"Light yet still durable, the Skechers GOmeb Speed 4 is an impressive performer when it comes to high mileage races. The updates made on this shoe, mainly on the design of the outsole, also makes this a solid choice for fast tempo runs. Runners should consider the GOmeb Speed 4 when looking for a quick shoe built for training.A few users observed that the shoes needed to be broken in; it apparently didn’t feel comfortable upon initial use.;Some reviewers commented on how thin the outsole of the shoe was for them.;A tester wanted to highlight the absence of an Achilles dip on this shoe.;",4.3 / 5 based on 20 ratings,"How popular is Skechers GOmeb Speed 4 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #336 most popular running shoes.",55%,20%,10%,5%,5%,"The upper is now made up of Skechers’ GOknit, which is highly breathable, comfortable and secure. This material is also very light and it goes together with the recurring lightweight theme of the shoes.;The heel counter also received a minor update. Instead of a simple wrap around fabric, there is now a crescent plastic in this area to add a little bit of strength and stability in the heel.;Skechers also topped off the upper with a sleek lacing system with eyelets that are made up of a reinforced fabric. This fabric replaced the metal or plastic eyelets present in the shoe’s predecessor.;The 5GEN cushioning system has been introduced into the shoe. This midsole foam is similar to what Skechers has used in the past, but has been developed to improve the smoothness of its ride and its responsiveness.;Also in the midsole is Skechers M-strike technology, which helps runners to focus more on mid-foot striking. This type of technology allows runners to strike on the mid-foot, thus promoting better gait mechanics.;The most obvious update of the Skechers GOmeb Speed 4 is its web-like outsole design, which is made of a durable rubber material. In place of the podular outsole on its predecessor, the current outsole makes full ground contact and has a 2mm-thick web-patterned rubber for better traction. The rubber is found mostly underneath the heel and toe, leaving a small area of exposed foam underneath the midfoot.;",The Skechers GOmeb Speed 4 has a standard running shoe length. The width also comes in regular measurements. Runners will be able to get the shoes in D and B—medium.,"On the outsole of the Skechers GOmeb Speed 4 is a smoother design that’s almost full contact. The only part of the outsole that doesn’t come in contact with the ground is the cutout where you can see the Dupont Delrin plate, which a part of the mid-sole. The lightweight material the outsole is made of a durable carbon fiber, which delivers a quick response while keeping the structure of the outsole intact.","The knitted upper of the Skechers GOmeb Speed 4 is known as the GOknit. It provides wearers a more sock-like feel when wearing the shoes. The GOknit helps give the shoes a more custom fit and comfort, while its breathability aids in reducing hot spots."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomon,https://runrepeat.com/salomon-speedtrak,Salomon Speedtrak,5,83,47,N,Trail,Neutral,Competition,$115 ,$49 | 57%,9,6,17,,"Most of the runners who found the right fit found the Speedtrak to be very comfortable.;It is a worthy investment, according to a handful.;The shoe is extremely durable, based on the observations of more than a few.;Very aggressive and multi-directional lugs provide grip on rugged surfaces.;Several obstacle course racers loved the combination of traction, and durability in the Salomon Speedtrak.;Some users mentioned that the upper dries fairly quick and easy to clean.;A few noted that the interior of their shoes was very clean after a tough run on dirty off-road trail.;The QuickLace system offers effortless cinching that does not untie or loosen.;Several runners appreciated the QuickLace system for its ease of use and utility.;","Most of the negative reviews were about how narrow the toe box is.;A handful of obstacle course enthusiasts remarked that it is a bit heavy.;Some runners felt that the ride was a bit jarring on hard ground due to the aggressive and very substantial lugs.;A small number of obstacle course participants wanted drainage holes in the shoe as it is one of Salomon’s biggest market for this shoe.;It runs small, according to several expert reviewers.;","Salomon offers the Speedtrak as an update to the Fellraiser. It does, however, bring many of the features that have made the Fellraiser quite a popular choice among runners and obstacle course racers. The Speedtrak has unbelievable traction, excellent durability, and a no-brainer of a choice for muddy or wet running on rugged and difficult outdoor surfaces.Most of the negative reviews were about how narrow the toe box is.;A handful of obstacle course enthusiasts remarked that it is a bit heavy.;Some runners felt that the ride was a bit jarring on hard ground due to the aggressive and very substantial lugs.;A small number of obstacle course participants wanted drainage holes in the shoe as it is one of Salomon’s biggest market for this shoe.;It runs small, according to several expert reviewers.;",4.2 / 5 based on 47 ratings,"How popular is Salomon Speedtrak in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #574 most popular running shoes.",62%,15%,6%,6%,6%,"Salomon made most of the modifications in the Speedtrak vis-a-vis the Fellraiser in the upper. A new anti-debris mesh is more breathable, but also does a better job in keeping debris off the shoe.;The upper has a more durable upper for tough outings off the road. It has very substantial overlays and a thick toe bumper for the best protection against the rough outdoors.;The rubber compound has been improved for better traction in wet conditions. This works together with the massive lugs for superior grip on mud, grass, and loose terrain.;",The fit of the Salomon Speedtrak is a bit narrow in the forefoot. There is a good hold in the midfoot and the heel without any dangers of hot spots or being too constraining. The lacing system and the fairly accommodating upper hug the foot for more support and security. It runs true to size.,The outsole of the Salomon Speedtrak is covered with very aggressive and multi-directional lugs from the heel to the forefoot. Some of these lugs are facing opposite each other for better downhill or uphill running. The outsole layout is also designed for challenges in an obstacle course. Salomon uses the placement of the lugs to prevent mud or loose terrain from clinging into the outsole. The proprietary Wet Traction Contagrip covers the underfoot for superior traction on wet surfaces.,The most prominent parts of the upper of the Speedtrak are the Sensifit overlays or the huge supports coming from the TPU overlays on both sides of the foot. These overlays extend to the heel to provide an all-expansive hold for stability and support on uneven and difficult terrains. The anti-debris mesh adds support and breathable coverage in this shoe. More protection comes in the form of the rubber toe cap that superbly shields the toes from getting bruised. A gusseted tongue that helps with the prevention of debris from getting in and a lace garage are two additional trail-specific features in the Speedtrak. An anatomically designed EVA footbed adds cushioning and support.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puma,https://runrepeat.com/puma-flex-racer,Puma Flexracer,1,83,9,N,Road,Neutral,Competition,$60 ,$40 | 33%,,,,,"The Puma Flexracer is a very comfortable shoe, according to most comments.;The price is affordable.;It is very flexible.;A good number of runners use the Flexracer for various activities besides running.;The sophisticated design makes it a fantastic option for casual wear.;It is a lightweight shoe that can handle different distances at varying speeds.;A mesh upper ensures a cool run.;The midfoot security is awesome, noted several.;","Some runners considered the durability as disappointing.;Traction should be better, even for an affordable shoe, commented a handful of runners.;It is a bit narrow as mentioned in a few comments.;","The name of the Puma Flexracer says it all. It is a minimalist shoe that is highly-flexible and offers plenty of speed for the runner. The comfort is superior with good arch support and decent cushioning for a lightweight trainer.Some runners considered the durability as disappointing.;Traction should be better, even for an affordable shoe, commented a handful of runners.;It is a bit narrow as mentioned in a few comments.;",4.9 / 5 based on 9 ratings,"How popular is Puma Flexracer in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #824 most popular running shoes.",78%,0%,0%,0%,0%,"Puma continues to venture to almost every category of running shoes. In the Flexracer, the company offers a racing shoe with decent cushioning. The shoe is very flexible because of the thin sole and the numerous flex grooves. It creates a ride that helps with the natural running motion of the runner.;The mesh enhances the natural running principle because of the way it molds to the runner’s foot for better security without hindering natural stride. It is also very breathable for sweat-free runs.;To get that racing-type feel, Puma uses a slightly firm cushioning to provide runners with a better platform for powerful takeoffs.;","The Flexracer has a snug, sock-like fit all throughout. This supports those with narrow to medium fit. Going up in size may be the best option for those who prefer more volume and width in their running shoe. Puma offers medium as the available width of this shoe. Sizes are bang on in this shoe with options 6 to 15 for the men’s and 4 to 11 for the women’s.",The outsole is signature Puma in a running shoe. It has full-contact rubber with several grooves stretching from the heel to the forefoot for excellent flexibility. Much of the shoe’s flexibility is because of the pliable sole and outsole. Puma covers the underfoot with a mix of blown rubber for traction and carbon rubber for better durability.,The really minimal upper features a lightweight mesh that is also very breathable. Puma’s logo is utilized as the major overlay that covers the lateral to the medial side through the heel for an all-encompassing support. There are a few other printed overlays that help with the midfoot lock. A SoftFoam insole enhances cushioning and fit.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuno,https://runrepeat.com/mizuno-wave-ekiden-11,Mizuno Wave Ekiden 11,2,83,6,N,Road,Neutral,Competition,$120 ,$72 | 40%,5,5,10,,"One reviewer wrote that the minimalist design of the Mizuno Wave Ekiden 11 favored well for him.;Several reviewers appreciated the mesh upper because of its sock-like fit.;The shoes still fit wonderfully even on wider feet, according to some testers.;Because of its minimalist and straightforward design, serious runners noted that they were able to feel the ground while they had the shoes on.;A reviewer observed that the shoe was able to allow him to run more naturally.;","The Mizuno Wave Ekiden 11 is a shoe designed for one specific purpose – to be a racing flat – so it’s not as versatile in terms of functionality, says one reviewer.;Some testers weren’t very glad at the limited style and colorways available for the shoe.;One tester accounted that the Mizuno Wave Ekiden 11 did not accommodate his heel and ankle properly.;","The Mizuno Wave Ekiden 11 is an uncomplicated racing flat, focused on delivering a high level of performance for serious road runners. This neutral road running shoe is built for events such as 5k and 10k road and track runs. It’s minimalist in design and construction, so runners are given the opportunity to feel the ground, and be fast and light on their feet during race day.The Mizuno Wave Ekiden 11 is a shoe designed for one specific purpose – to be a racing flat – so it’s not as versatile in terms of functionality, says one reviewer.;Some testers weren’t very glad at the limited style and colorways available for the shoe.;One tester accounted that the Mizuno Wave Ekiden 11 did not accommodate his heel and ankle properly.;",4.8 / 5 based on 6 ratings,"How popular is Mizuno Wave Ekiden 11 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #654 most popular running shoes.",83%,17%,0%,0%,0%,"A major redesign was done on the outsole of the Mizuno Wave Ekiden 11. Targeting speed and traction, a rubber dot pattern was put in place. While the dots are in charge of the shoe’s increased traction, several flex grooves have also been added underneath the shoe to help with flexibility.;Another update that was done on the shoe was the sealing of the seams. To help make the shoe more resistant to water, the seams on the air mesh upper were hot sealed into place.;Focusing on the midsole, the former U4ic lightweight midsole on the Mizuno Wave Ekiden 10 was updated into the U4icX Top Midsole which is also lightweight, but has more cushioning. It is the more pillow-y version of the U4ic, delivering a more responsive underfoot feel upon impact.;The design of the overlay on the heel also received a makeover. The former heel was minimalistic, showing most of the air mesh upper.;;","The Mizuno Wave Ekiden 11 comes in standard shoe lengths. Runners should be able to get a pair of these shoes in their usual size preference. The same goes for its width. The Mizuno Wave Ekiden 11 is available in B—medium and D—medium width-measurements. With a medium to narrow heel, a medium to low volume midfoot, and a medium to narrow forefoot, runners need not go up or down a size to get their right fit for the Mizuno Wave Ekiden 11.","The outsole of the Mizuno Wave Ekiden 11 is the G3 Sole. This outsole offers maximum ground contact. Mizuno describes this technology as a performance outsole. It enhances the traction of the shoe where it is most needed. It also has minimal weight to further enhance the grip, durability, and propulsion.","For breathability and comfort, the upper is made up of a material called air mesh. This material is popularly used on the uppers of today’s running shoes because it offers excellent ventilation. In addition, the permeable characteristic of this material allows it to follow the shape of the foot easily, giving the user a more customized fit."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asics,https://runrepeat.com/asics-gel-fujiendurance,Asics Gel FujiEndurance,3,83,31,N,Trail,Neutral,Daily running,$240 ,$83 | 65%,10,8,9,,"The 6mm sockliner and the soft fabric lining deliver the kind of comfort runners look for in any shoe.;The FujiEndurance’s durability is simply incredible, based on most comments.;A good number of reviews consider the price tag is decent enough for a shoe of its kind.;The traction of the FujiEndurance is very sticky and designed for wet conditions on mud, rocks, and technical trail.;Asics designed the lugs that allow runners to take this shoe for a ride on the road.;The flexibility and ground feedback of the shoe are moderate enough, despite the lugs and the rock protection plate.;The Plasmaguard technology repels water and mud without sacrificing breathability.;","Some runners found the heel counter as too stiff.;The external heel counter and slightly firmer sole is a bit much on flat surfaces, according to some testers.;A handful of testers considered the fit a bit too narrow.;","Asics adds a new line to its fairly limited trail shoes in the FujiEndurance. The shoe is moderately cushioned with average lugs that enable runners to transition from the road to the trail. Runners will really like it responsive ride with very noticeable ground feedback and water-repelling properties.Some runners found the heel counter as too stiff.;The external heel counter and slightly firmer sole is a bit much on flat surfaces, according to some testers.;A handful of testers considered the fit a bit too narrow.;",4.3 / 5 based on 31 ratings,"How popular is Asics Gel FujiEndurance in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #391 most popular running shoes.",61%,13%,13%,3%,6%,"Asics introduces what is technically called a trail shoe, but offers enough softness and spacing in the lugs of the FujiEndurance that runners can enjoy their run on the road as well. This is the shoe that comes closest to being a hybrid\trail version in Asics’ line up of trail shoes.;In the FujiEndurance, Asics comes up with a new water-repellant design that effectively keeps off mud and water in a breathable package. While this is not a full-blown waterproofing membrane, runners can expect a dry run during slight drizzles, a bit of snow, or wading through a shallow puddle.;The shoe is filled with numerous trail-specific features that should amply protect and support the runner on the rugged trail. There is a rock protection plate and a burly toe bumper, a lace pocket, and the water-repellant upper.;Covering the outsole is a very sticky rubber that is designed for serious traction on the slickest surfaces. The moderately sized lugs help deliver the optimal bite on the trail as well.;",The bootie-style construction and the pointed last gives it a snug fit that others who want more wiggle room may have to go half or a full size up. This medium fit is essentially on the narrower side of the spectrum. The right size will give an exceptional fit that wraps the foot in comfort and security. The available width of this shoe is medium. Sizes are fairly regular with options from 6 to 15 for the men’s and 5 to 12 for the women’s.,"The outsole is moderately rugged for the trails, but with enough softness for smooth runs on the road. There are reversed lugs for uphill or downhills runs. This trail-specific outsole is covered in AHAR+ blown rubber for optimal durability, traction, and a little cushioning. A rock protection plate between the outsole and the midsole protect the foot against sharp objects on the trail.","The tough upper features a very breathable mesh that keeps the run very cool. Asics incorporates a hydrophobic membrane in the Plasmaguard. It keeps off water without doing away the FujiEndurance’s breathability. An exoskeletal heel counter cups the heel in place, which greatly helps when running on uneven surfaces on the trail. Providing added cushioning with moisture-wicking features is the ComforDry X-40 sockliner. The same moisture-wicking features are found in the fabric lining the interior of the shoe. Asics uses an aggressive rubber construction to give maximum toe protection. Lastly, a lace pocket prevents accidental snagging."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucony,https://runrepeat.com/saucony-zealot-iso-2,Saucony Zealot ISO 2,7,83,87,N,Road,Neutral,Daily running,$130 ,$53 | 59%,9,4,22,,"The Saucony Zealot ISO 2 felt agreeably lightweight, according to many testers.;An expert reviewer reported that the upper fabrics were able to envelop the foot and keep it secure.;Several runners noted that the ISOFIT and the thin overlay system were able to support the foot and prevent it from moving against the shoe.;The underfoot cushioning system received praise from a lot of consumers; they felt that it was efficient.;Many runners used the word ‘comfortable’ to describe their time while wearing this running shoe.;The rubber outsole gained some fans because it was durable and reliable.;A number of purchasers stated that the supportive fabrics didn’t allow their feet to accidentally be removed from the shoe; they stayed in place during the running session.;A tester commented that they experienced less fatigue since they made the change to the Zealot ISO 2.;Several runners stated that the design of this shoe was visually pleasing.;","The toe box felt a bit narrow, according to some of those who have worn it.;For a number of testers, it was half-a-size smaller than the usual.;An expert reviewer stated that the upper felt a bit stiffer than the original iteration.;Several runners reported that it was a bit heavier than the original version.;A few consumers didn’t acclimate well to the color schemes of the Zealot ISO 2, stating that they were over-the-top.;The heel section of the platform felt too firm at lower speeds, a tester observed.;Energy return wasn’t very high, according to a reviewer; it’s as though she was wearing a heavy-duty shoe without the extra bulkiness and weight.;","The Saucony Zealot ISO 2 generally performed well, according to shoe enthusiasts. They felt that it was able to provide reliable service to those with neutral gaits. For many of them, the upper was supportive, the mid-sole was responsive, and the outsole was efficient. But there were those who stated that the first iteration was better. They didn’t think that the 2nd version was a bad model, but they also didn’t think that it was able to surpass the original Zealot ISO.The toe box felt a bit narrow, according to some of those who have worn it.;For a number of testers, it was half-a-size smaller than the usual.;An expert reviewer stated that the upper felt a bit stiffer than the original iteration.;Several runners reported that it was a bit heavier than the original version.;A few consumers didn’t acclimate well to the color schemes of the Zealot ISO 2, stating that they were over-the-top.;The heel section of the platform felt too firm at lower speeds, a tester observed.;Energy return wasn’t very high, according to a reviewer; it’s as though she was wearing a heavy-duty shoe without the extra bulkiness and weight.;",3.9 / 5 based on 87 ratings,"How popular is Saucony Zealot ISO 2 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #261 most popular running shoes.",49%,16%,14%,9%,8%,"The Saucony Zealot ISO 2 is a running shoe that’s optimized for those who have a neutral running gait. It’s made with high quality components and materials that work together in order to make the overall running output as agreeable and efficient as possible.;The upper unit features breathable fabrics, which accommodate airflow into the foot-chamber. Parts of this section are actually stretchable, and they allow the wearer to feel as if they’re wearing a sock. The softness of the fabrics prevents rubbing or scratching. Also, reflective materials make the shoe more visible in low lighting conditions.;The full-length mid-sole foam that’s present in the Saucony Zealot ISO 2 is the one responsible for doling out responsive cushioning to the foot of the wearer. It also distributes impact pressure during each step, thus keeping the underfoot experience as comfortable as possible. An add-on in the platform actually attenuates shock and leads the foot towards a smoother transition through the gait cycle.;Durable carbon rubber shields the rest of the sole unit and keeps it free from the potentially abrasive nature of the asphalt. Placed in the forefoot area is a more responsive rubber compound, which, on top of its traction capability, adds a bit more cushioning and flexibility. Flex grooves heighten the bendability of the platform.;",Standard measurements were used in the making of the Saucony Zealot ISO 2. The sizing schemes follow the regular choices of runners. The available width for both the men and women’s versions is medium. Its semi-curved shape actually follows the natural curve of the human foot.,"The XT-900 is a high-quality material that’s made from durable carbon rubber. It protects the mid-sole foam from the abrasive asphalt. It also delivers traction, which is paramount to the runner’s performance.","Breathable mesh covers the foot securely. It allows air into the foot-chamber, essentially keeping the interior environment well-ventilated."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inov-8,https://runrepeat.com/inov-8-trail-talon-250,Inov-8 Trail Talon 250,3,83,25,N,Trail,Neutral,Daily running,$145 ,$66 | 54%,9,4,13,,"Reviewers commented that the Inov-8 Trail Talon 250 was suitably lightweight on the trails.;The outsole configuration enabled this running shoe to take on dry trail surfaces with ease, one tester noted.;Traction on wet surfaces was also agreeable for many runners.;Users wrote that the toe-box was not too narrow, that it allowed the toes to splay naturally for comfort and balance.;One running blogger wrote that this feather-light running shoe was fast and that it was a joy to run in.;A professional runner was very positive about the Trail Talon 250, saying that the breathable coverage was top-notch, the tread pattern was efficient, and the forefoot area was well-protected.;A reviewer pointed out that this running shoe had less cushioning than its sister shoe, the Trail Talon 275, but it was still very comfortable on all runs.;","A runner noticed that it was able to perform well on shorter runs because it had a low drop and lesser cushioning than the Trail Talon 275, but it’s not for long off-road adventures.;","The Inov-8 Trail Talon 250 was widely praised for its lightweight disposition, its efficient outsole, and comfortable design. Many said that it helped them achieve great performances on the trails. Though one runner noted that it didn’t stay comfortable when taken on longer runs, it still performed admirably as a reliable off-road running shoe.A runner noticed that it was able to perform well on shorter runs because it had a low drop and lesser cushioning than the Trail Talon 275, but it’s not for long off-road adventures.;",4.3 / 5 based on 25 ratings,"How popular is Inov-8 Trail Talon 250 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #520 most popular running shoes.",56%,12%,16%,8%,0%,"The Inov-8 Trail Talon 250 is a lightweight running shoe that’s optimized for the trails. It features some trail-ready technologies and components which allow it to take the runners through the off-road paths with ease. High quality materials were used for this shoe, thus making it durable, formidable and long-lasting.;The upper unit utilizes breathable fabrics in order to maintain comfort and deliver ventilation to the runner. It also adapts to the movements and the shape of the foot when running and standing idly. The cover system is not stiff, so the runner won’t feel marred by it.;The PowerFlow is a mid-sole compound that is responsive to the running output of the wearer. It is capable of absorbing impact shock during landings and spring the foot forward during the toe-offs. A Dynamic Fascia Band serves as a lever arm, supporting each step and propelling the runner forward with speed & efficiency.;The outsole unit of the Inov-8 Trail Talon 250 has been optimized for the trails. Two sticky rubber compounds are used in this layer. Hard rubber improves grip on dry and wet surfaces, and it doesn’t easily wear off or lose structural integrity. A softer rubber material adds a bit of cushioning and flexibility on top of the traction that it gives. The Meta-Flex™ groove in the forefoot makes the platform more flexible.;","The Inov-8 Trail Talon 250 has a standard running shoe length. The sizing schemes used for this model follow regular measurements. The available width for the men and women’s versions is medium, so it is able to allow those with medium sized feet to acclimate well to it. The natural curve of the human foot is mimicked by its semi-curved shape.","Two different sticky rubber materials are used for the outsole unit of the Trail Talon 250. The Hard Sticky Rubber delivers protection and traction, while having increased endurance. It doesn’t break down easily, so it remains intact even after many uses. The Soft Sticky Rubber also delivers sure traction. It is also flexible and responsive. Both these rubber materials give maximum grip on wet and slippery surfaces.",Breathable coverage is given to the runner via a synthetic mesh. Its open construction allows air to enter the foot-chamber in order to keep the foot cool and dry.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
